step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.53883,0.65,,
2,1.39445,0.67696,,
3,1.40096,0.69231,,
4,2.27224,0.52941,,
5,1.56858,0.67816,,
6,1.84022,0.62791,,
7,1.47487,0.73529,,
8,2.71396,0.57471,,
9,1.51924,0.66197,,
10,1.68578,0.6463,,
11,1.28508,0.69779,,
12,1.37042,0.67204,,
13,2.1394,0.59524,,
14,1.14612,0.71722,,
15,2.10494,0.59459,,
16,3.03477,0.47368,,
17,2.42357,0.55385,,
18,1.92996,0.59677,,
19,1.35905,0.725,,
20,1.81695,0.62136,,
21,2.34338,0.53947,,
22,1.50097,0.73333,,
23,2.13633,0.62338,,
24,2.35091,0.57692,,
25,2.11548,0.55,,
26,1.43748,0.72,,
27,1.52918,0.69014,,
28,1.50115,0.69159,,
29,1.71699,0.69697,,
30,1.78926,0.66234,,
31,1.39922,0.72619,,
32,1.69415,0.64646,,
33,0.89776,0.79259,,
34,1.61046,0.61628,,
35,1.47024,0.7,,
36,1.39767,0.71111,,
37,1.04622,0.76667,,
38,1.58886,0.61628,,
39,0.95927,0.79167,,
40,2.00138,0.66667,,
41,0.8239,0.81818,,
42,1.09253,0.71629,,
43,0.62294,0.83607,,
44,0.60158,0.82979,,
45,1.10158,0.8125,,
46,1.29839,0.69307,,
47,1.56815,0.63636,,
48,0.87327,0.79798,,
49,0.99176,0.73259,,
50,1.48605,0.68354,,
51,0.91065,0.75238,,
52,1.21237,0.67606,,
53,1.94591,0.58,,
54,1.14289,0.79487,,
55,0.95867,0.76316,,
56,1.09153,0.76923,,
57,0.96337,0.79032,,
58,0.92859,0.77333,,
59,0.95581,0.79389,,
60,0.95417,0.7289,,
61,1.13357,0.71795,,
62,1.14336,0.71264,,
63,0.97793,0.74627,,
64,0.78271,0.80392,,
65,1.45003,0.67652,,
66,0.78064,0.79143,,
67,0.89902,0.8,,
68,0.89983,0.79688,,
69,0.6646,0.86486,,
70,0.8245,0.76087,,
71,0.66185,0.84483,,
72,1.61405,0.75789,,
73,0.64957,0.84706,,
74,1.29654,0.68468,,
75,0.77202,0.81081,,
76,1.16848,0.76364,,
77,1.37055,0.73267,,
78,1.599,0.60714,,
79,0.85048,0.83099,,
80,1.4246,0.70536,,
81,0.58023,0.87778,,
82,0.50661,0.85714,,
83,0.54423,0.85135,,
84,0.91845,0.81356,,
85,1.21834,0.7305,,
86,1.14422,0.74118,,
87,0.89148,0.76126,,
88,0.59419,0.84848,,
89,0.71734,0.82474,,
90,0.52593,0.88288,,
91,0.87496,0.77551,,
92,0.57723,0.83673,,
93,0.34591,0.91549,,
94,0.81225,0.77778,,
95,1.22824,0.70909,,
96,0.89796,0.79545,,
97,1.02972,0.7451,,
98,0.75753,0.85366,,
99,0.50637,0.84733,,
100,0.57812,0.84557,0.71681,0.81236
101,1.98112,0.68852,,
102,0.86087,0.79825,,
103,1.0781,0.7294,,
104,1.20961,0.72862,,
105,0.61779,0.83784,,
106,0.68567,0.875,,
107,0.6283,0.875,,
108,0.66392,0.82759,,
109,1.87116,0.60526,,
110,0.73738,0.81672,,
111,1.12452,0.78571,,
112,0.65524,0.81308,,
113,0.89605,0.80882,,
114,0.84659,0.83784,,
115,0.63748,0.83871,,
116,0.78628,0.81272,,
117,0.58043,0.85417,,
118,0.52805,0.86957,,
119,0.70457,0.84375,,
120,0.78167,0.80488,,
121,0.5965,0.86667,,
122,1.06718,0.76712,,
123,0.35736,0.88608,,
124,0.65457,0.83753,,
125,0.735,0.81947,,
126,0.4877,0.85965,,
127,0.60276,0.84074,,
128,0.56038,0.85542,,
129,0.5809,0.89583,,
130,0.64655,0.88235,,
131,0.46302,0.90741,,
132,0.80799,0.76812,,
133,1.69808,0.672,,
134,0.73227,0.85294,,
135,0.59641,0.84314,,
136,0.34783,0.88889,,
137,0.98529,0.7866,,
138,0.67231,0.86154,,
139,0.55071,0.88119,,
140,1.49785,0.73134,,
141,1.00549,0.81429,,
142,1.06452,0.73913,,
143,0.67287,0.82946,,
144,0.99752,0.78846,,
145,0.88548,0.78947,,
146,0.44168,0.89796,,
147,0.4253,0.88496,,
148,0.40778,0.86719,,
149,0.55858,0.86207,,
150,0.39657,0.89227,,
151,0.43824,0.89796,,
152,0.25842,0.92157,,
153,0.1555,0.95,,
154,0.95513,0.78689,,
155,0.52313,0.875,,
156,0.38306,0.91489,,
157,1.07149,0.74336,,
158,1.06428,0.81481,,
159,0.37773,0.88971,,
160,0.62664,0.85393,,
161,0.39521,0.89076,,
162,0.72011,0.81701,,
163,0.65553,0.8381,,
164,0.25858,0.92072,,
165,0.34463,0.91781,,
166,0.62596,0.87302,,
167,0.6082,0.92308,,
168,0.8773,0.7807,,
169,0.41125,0.9,,
170,0.63526,0.85556,,
171,0.28148,0.93023,,
172,0.398,0.89831,,
173,0.09736,0.98667,,
174,0.5554,0.88235,,
175,0.49291,0.86076,,
176,0.27641,0.95588,,
177,0.11257,0.98889,,
178,0.12884,0.97183,,
179,0.42528,0.87288,,
180,0.1772,0.9619,,
181,0.42462,0.83607,,
182,0.14251,0.95385,,
183,0.57042,0.88679,,
184,0.39367,0.91803,,
185,0.28867,0.92941,,
186,0.48793,0.86957,,
187,1.2201,0.81356,,
188,0.31676,0.93,,
189,0.57539,0.81176,,
190,0.39037,0.89655,,
191,0.63481,0.82453,,
192,0.59474,0.88281,,
193,0.11463,0.96667,,
194,0.65589,0.81429,,
195,0.08606,0.97458,,
196,0.53945,0.86842,,
197,0.08041,0.98319,,
198,0.33112,0.93077,,
199,0.43272,0.88636,,
200,0.97793,0.81633,0.50874,0.90909
201,1.21868,0.7594,,
202,0.876,0.79798,,
203,0.30587,0.94737,,
204,0.86251,0.79167,,
205,0.34556,0.8913,,
206,0.20591,0.9469,,
207,0.27618,0.92157,,
208,0.5274,0.86207,,
209,1.87302,0.60976,,
210,0.26489,0.93578,,
211,0.51019,0.88889,,
212,0.16381,0.95098,,
213,0.20608,0.95522,,
214,0.14321,0.93333,,
215,0.24439,0.9186,,
216,0.54633,0.8375,,
217,0.69763,0.84375,,
218,0.14749,0.95833,,
219,1.31128,0.78814,,
220,0.80688,0.82105,,
221,0.50553,0.86667,,
222,0.56162,0.848,,
223,0.3442,0.90625,,
224,0.69265,0.81199,,
225,0.79653,0.82456,,
226,1.05553,0.73239,,
