step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.44969,0.82979,,
2,1.66133,0.71875,,
3,1.41347,0.76087,,
4,2.34584,0.58333,,
5,1.57709,0.77143,,
6,1.64143,0.68627,,
7,0.8899,0.76596,,
8,1.23957,0.68627,,
9,1.59547,0.72727,,
10,0.8678,0.78947,,
11,0.7105,0.78947,,
12,0.65467,0.85714,,
13,0.75207,0.77273,,
14,0.93494,0.7619,,
15,0.47783,0.81081,,
16,0.44327,0.88571,,
17,0.68179,0.875,,
18,0.58588,0.80435,,
19,0.18946,0.92857,,
20,0.45723,0.90909,,
21,0.91922,0.80556,,
22,0.66701,0.83333,,
23,1.65905,0.7,,
24,0.61371,0.71429,,
25,0.63314,0.775,,
26,0.92586,0.77083,,
27,0.81589,0.73529,,
28,0.51132,0.8,,
29,1.41445,0.73333,,
30,0.61927,0.76596,,
31,0.4741,0.78571,,
32,0.53315,0.79545,,
33,0.63186,0.73529,,
34,0.74924,0.75,,
35,0.60537,0.88889,,
36,0.39864,0.85106,,
37,0.28943,0.94595,,
38,0.51293,0.78125,,
39,0.24128,1.0,,
40,0.34853,0.8913,,
41,0.28885,0.875,,
42,0.29414,0.92857,,
43,0.34487,0.86364,,
44,0.42584,0.87234,,
45,0.31458,0.875,,
46,0.02095,1.0,,
47,0.23811,0.90909,,
48,0.13947,0.94737,,
49,0.38682,0.91667,,
50,0.44277,0.90476,,
51,0.19275,0.95,,
52,0.36793,0.84091,,
53,0.48097,0.875,,
54,0.00268,1.0,,
55,0.4031,0.88235,,
56,0.56065,0.84314,,
57,0.06902,1.0,,
58,0.24171,0.94444,,
59,0.35877,0.91176,,
60,0.03415,1.0,,
61,0.34,0.875,,
62,0.97654,0.83333,,
63,0.28564,0.88636,,
64,0.22862,0.91429,,
65,0.09814,0.95238,,
66,0.23868,0.93617,,
67,0.25473,0.90625,,
68,0.14506,0.95745,,
69,0.1492,0.94286,,
70,0.23836,0.95238,,
71,0.55931,0.83333,,
72,0.16561,0.93617,,
73,0.50298,0.83333,,
74,0.84773,0.83333,,
75,0.36224,0.86275,,
76,0.1257,0.93478,,
77,0.15631,0.97619,,
78,0.11898,0.94444,,
79,0.36516,0.875,,
80,0.07788,0.95,,
81,0.25595,0.88235,,
82,0.08294,0.95455,,
83,0.08778,1.0,,
84,0.03489,1.0,,
85,0.72304,0.86667,,
86,0.05572,1.0,,
87,0.17323,0.91667,,
88,0.17003,0.90909,,
89,0.02379,1.0,,
90,0.07016,1.0,,
91,0.25673,0.89583,,
92,0.18716,0.93182,,
93,0.5981,0.86667,,
94,0.14006,0.97059,,
95,0.05493,1.0,,
96,0.04054,1.0,,
97,0.15087,0.96078,,
98,0.09979,0.97059,,
99,0.02702,1.0,,
100,0.02732,1.0,,
101,0.10739,0.97619,,
102,0.00025,1.0,,
103,0.00074,1.0,,
104,0.01091,1.0,,
105,0.0191,1.0,,
106,0.00856,1.0,,
107,0.00018,1.0,,
108,0.0214,1.0,,
109,0.0154,1.0,,
110,0.14128,0.95745,,
111,0.13567,0.95745,,
112,0.07854,0.94444,,
113,0.00056,1.0,,
114,0.07817,0.95833,,
