step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.73611,0.57143,,
2,2.73611,0.57143,,
3,2.28278,0.67742,,
4,1.60786,0.68571,,
5,1.93021,0.625,,
6,1.77695,0.64516,,
7,2.24844,0.6,,
8,1.27729,0.78788,,
9,1.14419,0.91667,,
10,0.97234,0.91667,,
11,1.16702,0.75,,
12,0.58348,0.78788,,
13,0.68462,0.77419,,
14,0.44164,0.88462,,
15,0.5312,0.77419,,
16,0.81541,0.875,,
17,0.48335,0.84375,,
18,0.44638,0.77419,,
19,1.40275,0.625,,
20,1.78373,0.73913,,
21,0.88096,0.83333,,
22,0.75314,0.73077,,
23,0.68725,0.81081,,
24,1.06441,0.6087,,
25,0.4273,0.875,,
26,1.10791,0.70968,,
27,0.2957,0.92,,
28,1.00645,0.66667,,
29,0.42212,0.83871,,
30,0.89397,0.77419,,
31,0.80399,0.65217,,
32,0.28897,0.92308,,
33,0.92689,0.65625,,
34,0.37593,0.80769,,
35,0.60843,0.74286,,
36,0.82384,0.73333,,
37,0.42327,0.86486,,
38,1.26069,0.73913,,
39,0.68647,0.8,,
40,0.25253,0.9375,,
41,0.11925,1.0,,
42,0.48657,0.74286,,
43,0.16501,0.96154,,
44,1.05712,0.78261,,
45,0.14748,1.0,,
46,0.18126,0.90323,,
47,0.1521,0.92,,
48,0.03935,1.0,,
49,0.61865,0.83871,,
50,0.19487,0.92308,,
51,0.33298,0.93333,,
52,0.24869,0.91892,,
53,0.30361,0.87879,,
54,0.41912,0.78261,,
55,0.48525,0.83871,,
56,0.11799,1.0,,
57,0.19019,0.93548,,
58,0.31621,0.875,,
59,0.69556,0.75,,
60,0.1537,0.93548,,
61,0.21058,0.90909,,
62,0.14088,1.0,,
63,0.1192,1.0,,
64,0.05043,1.0,,
65,0.22455,0.93548,,
66,0.24653,0.91429,,
67,0.78394,0.86957,,
68,0.06195,1.0,,
69,0.5187,0.78571,,
70,0.1667,0.95833,,
71,0.13317,0.93548,,
72,0.42256,0.78571,,
73,0.13616,0.96774,,
74,0.55085,0.78125,,
75,0.27171,0.91304,,
76,0.03491,1.0,,
77,0.08698,1.0,,
78,0.00223,1.0,,
79,0.13179,1.0,,
80,0.05581,1.0,,
81,0.02749,1.0,,
82,0.1783,0.95652,,
83,0.0066,1.0,,
84,0.00985,1.0,,
85,0.00748,1.0,,
86,0.015,1.0,,
87,0.05054,1.0,,
88,0.57356,0.86957,,
89,0.06857,0.96774,,
90,0.11868,0.92857,,
91,0.07852,0.97143,,
92,0.57223,0.78125,,
93,0.11726,0.95833,,
94,0.54312,0.91304,,
95,0.00183,1.0,,
96,0.04008,1.0,,
97,0.00029,1.0,,
98,0.20074,0.90323,,
99,0.01142,1.0,,
100,0.02779,1.0,,
101,0.53011,0.8125,,
102,0.04875,1.0,,
103,0.02246,1.0,,
104,0.04158,1.0,,
105,0.04492,1.0,,
106,0.24576,0.93333,,
107,0.15872,0.93548,,
108,0.21187,0.93333,,
109,0.00828,1.0,,
110,0.07012,1.0,,
111,0.01905,1.0,,
112,0.02692,1.0,,
113,0.027,1.0,,
114,0.02875,1.0,,
